Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Url
672388270801,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / M (44-46) / S (40-42)- M (44-46)- S (40-42),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:S (40-42),,MLzxdgrgdIT5ekcAB6Ej,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=672388270801
165328107571,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / L (46-48) / S (40-42)- L (46-48)- S (40-42),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:S (40-42),,0AYIJdk3NtVXp5FosTo5,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=165328107571
301576503091,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / S (40-42) / M (44-46)- S (40-42)- M (44-46),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:M (44-46),,1uJGTRdg4LBAtBe7fmkR,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=301576503091
400291325361,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / M (44-46)- M (44-46)- M (44-46),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:M (44-46),,ErsDVgzPmrHSp21nG0ce,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=400291325361
269407585751,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / L (46-48) / M (44-46)- L (46-48)- M (44-46),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:M (44-46),,P280XPZkkrzK0fpUzjtG,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=269407585751
230948632071,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / S (40-42) / L (46-48)- S (40-42)- L (46-48),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:L (46-48),,bK9Gt8e2UnUrHfZZMXt1,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=230948632071
647943886271,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / M (44-46) / L (46-48)- M (44-46)- L (46-48),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:L (46-48),,CvEuxu9vnCjC51lC6o27,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=647943886271
604766547931,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / L (46-48)- L (46-48)- L (46-48),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:L (46-48),,igpp5MMZ8JV8zKiDNp4R,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=604766547931
297265237091,,,,Комплекты,Комплект Nebo лаванда,,"<br />Комплект Nebo - утонченный и нежный. С легкостью поместится в вашей сумочке. Деликатно поддерживает грудь и подчеркивает талию. Очень мягкий и комфортный. Этот комплект станет вашим любимым. <br /><br />• Плетение рибана<br />• Моделирование фигуры<br />• Антипиллинг (не образуются катышки)<br />• Технология DRY (изделие быстро впитывает влагу и испаряет, не оставляя следов пота)<br />• Съемные чашки у топа<br /><br /> Состав: <br />76% нейлон, 14% полиэстер, 10% эластан <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах;<br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 176 см, параметры - 78/59/90. <br />Размер комплекта — S",https://static.tildacdn.com/tild6434-6334-4635-b235-303230363235/1154834129.jpg https://static.tildacdn.com/tild6133-3933-4131-b864-363662663536/1154832238.jpg https://static.tildacdn.com/tild6661-6138-4234-b334-353066333939/1154832273.jpg https://static.tildacdn.com/tild6236-3030-4539-a262-323436353539/1154835188.jpg https://static.tildacdn.com/tild6563-6632-4465-b830-356338343136/1154839045.jpg https://static.tildacdn.com/tild6335-3634-4164-a264-323539666463/__last_variant.png,,,,,,lX4l0bDRGlVU6RUY1ndE,,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda
393284436251,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / S (40-42)- S (40-42)- S (40-42),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:S (40-42),,S4Fus01KmFGYgcoscaTs,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=393284436251
238299527841,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / M (44-46) / S (40-42)- M (44-46)- S (40-42),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:S (40-42),,9By3y7mFhEj1ZMs0OMg0,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=238299527841
171779842801,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / L (46-48) / S (40-42)- L (46-48)- S (40-42),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:S (40-42),,6tgF7cMixA8r9LErPea5,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=171779842801
874026371491,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / S (40-42) / M (44-46)- S (40-42)- M (44-46),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:M (44-46),,H88tji2nYB9iUjXfvYtl,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=874026371491
803174707751,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / M (44-46)- M (44-46)- M (44-46),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:M (44-46),,oFn2DMDfh6mNmxz4L4bx,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=803174707751
549696608721,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / L (46-48) / M (44-46)- L (46-48)- M (44-46),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:M (44-46),,4lU8NSS5dfZldmipEniz,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=549696608721
474463275451,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / S (40-42) / L (46-48)- S (40-42)- L (46-48),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:L (46-48),,oNKOdOV6RkfOoB8DhBD6,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=474463275451
810281558861,,DF-07.0002/DF-07.0006,,,Комплект Nebo лаванда / M (44-46) / L (46-48)- M (44-46)- L (46-48),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:L (46-48),,AUvXtukY1Eg7nm7a2nPO,297265237091,https://define.moscow/kits/tproduct/359761173-297265237091-komplekt-nebo-lavanda?editionuid=810281558861
