Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
Мой склад,Леггинсы,354797640,Леггинсы Luna лаванда меланж,legginsy-luna-lavanda-melanzh,https://myshop-buy636.myinsales.ru/product/legginsy-luna-lavanda-melanzh,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024059,DF-07.0013,,600024059,,3200,,,0,,,,,Xy-0eG0AiHNniHf8eWvit0,
Мой склад,Леггинсы,354797642,Леггинсы  Military фиолетовые,legginsy-military-fioletovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-fioletovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024061,DF-07.0017,,600024061,,3400,,,0,,,,,ZnQ1XFr-jEDhtD7dxgNNS1,
Мой склад,Леггинсы,354797642,Леггинсы  Military фиолетовые,legginsy-military-fioletovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-fioletovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024060,DF-07.0017,,600024060,,3400,,,0,,,,,ZnQ1XFr-jEDhtD7dxgNNS1,
Мой склад,Леггинсы,354797642,Леггинсы  Military фиолетовые,legginsy-military-fioletovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-fioletovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024062,DF-07.0017,,600024062,,3400,,,0,,,,,ZnQ1XFr-jEDhtD7dxgNNS1,
Мой склад,Упаковка,354797643,Крафтовые пакеты с лого,kraftovye-pakety-s-logo,https://myshop-buy636.myinsales.ru/product/kraftovye-pakety-s-logo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024063,,,600024063,,0,,,0,,,,,KP5-akmLjCMwNphDGj6qb2,
Мой склад,Кроп топы,354797644,Кроп топ Real Way голубой,krop-top-real-way-goluboy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-goluboy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024064,DF-03.0004,,600024064,,3600,,,0,,,,,fuhPAXKfg35nk-5lrNaEg2,
Мой склад,Кроп топы,354797644,Кроп топ Real Way голубой,krop-top-real-way-goluboy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-goluboy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024066,DF-03.0004,,600024066,,3600,,,0,,,,,fuhPAXKfg35nk-5lrNaEg2,
Мой склад,Кроп топы,354797644,Кроп топ Real Way голубой,krop-top-real-way-goluboy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-goluboy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024067,DF-03.0004,,600024067,,3600,,,0,,,,,fuhPAXKfg35nk-5lrNaEg2,
Мой склад,Кроп топы,354797646,Кроп топ Real Way винный,krop-top-real-way-vinnyy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-vinnyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024070,DF-03.0006,,600024070,,3600,,,0,,,,,U66GimoLjR0RxLBtgVvOY3,
Мой склад,Кроп топы,354797646,Кроп топ Real Way винный,krop-top-real-way-vinnyy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-vinnyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024069,DF-03.0006,,600024069,,3600,,,0,,,,,U66GimoLjR0RxLBtgVvOY3,
Мой склад,Кроп топы,354797646,Кроп топ Real Way винный,krop-top-real-way-vinnyy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-vinnyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024068,DF-03.0006,,600024068,,3600,,,0,,,,,U66GimoLjR0RxLBtgVvOY3,
Мой склад,Кроп топы,354797647,Кроп топ Real Way темно-серый,krop-top-real-way-temno-seryy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-temno-seryy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024073,DF-03.0005,,600024073,,3600,,,0,,,,,TIxFPcQUgyYIiOSbJWFeh0,
Мой склад,Кроп топы,354797647,Кроп топ Real Way темно-серый,krop-top-real-way-temno-seryy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-temno-seryy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024074,DF-03.0005,,600024074,,3600,,,0,,,,,TIxFPcQUgyYIiOSbJWFeh0,
